variable,files,unique_values,suspected_conflict
"--glass-warning-level1-shadow",1,1,false
"--glass-warning-level1-text-primary",1,1,false
"--glass-warning-level1-text-secondary",1,1,false
"--glass-warning-level2-surface",1,1,false
"--glass-warning-level2-border-color",1,1,false
"--glass-warning-level2-border-width",1,1,false
"--glass-warning-level2-border-style",1,1,false
"--glass-warning-level2-blur",1,1,false
"--glass-warning-level2-shadow",1,1,false
"--glass-warning-level2-text-primary",1,1,false
"--glass-warning-level2-text-secondary",1,1,false
"--glass-warning-level3-surface",1,1,false
"--glass-warning-level3-border-color",1,1,false
"--glass-warning-level3-border-width",1,1,false
"--glass-warning-level3-border-style",1,1,false
"--glass-warning-level3-blur",1,1,false
"--glass-warning-level3-shadow",1,1,false
"--glass-warning-level3-text-primary",1,1,false
"--glass-warning-level3-text-secondary",1,1,false
"--glass-warning-level4-surface",1,1,false
"--glass-warning-level4-border-color",1,1,false
"--glass-warning-level4-border-width",1,1,false
"--glass-warning-level4-border-style",1,1,false
"--glass-warning-level4-blur",1,1,false
"--glass-warning-level4-shadow",1,1,false
"--glass-warning-level4-text-primary",1,1,false
"--glass-warning-level4-text-secondary",1,1,false
"--glass-danger-level1-surface",1,1,false
"--glass-danger-level1-border-color",1,1,false
"--glass-danger-level1-border-width",1,1,false
"--glass-danger-level1-border-style",1,1,false
"--glass-danger-level1-blur",1,1,false
"--glass-danger-level1-shadow",1,1,false
"--glass-danger-level1-text-primary",1,1,false
"--glass-danger-level1-text-secondary",1,1,false
"--glass-danger-level2-surface",1,1,false
"--glass-danger-level2-border-color",1,1,false
"--glass-danger-level2-border-width",1,1,false
"--glass-danger-level2-border-style",1,1,false
"--glass-danger-level2-blur",1,1,false
"--glass-danger-level2-shadow",1,1,false
"--glass-danger-level2-text-primary",1,1,false
"--glass-danger-level2-text-secondary",1,1,false
"--glass-danger-level3-surface",1,1,false
"--glass-danger-level3-border-color",1,1,false
"--glass-danger-level3-border-width",1,1,false
"--glass-danger-level3-border-style",1,1,false
"--glass-danger-level3-blur",1,1,false
"--glass-danger-level3-shadow",1,1,false
"--glass-danger-level3-text-primary",1,1,false
"--glass-danger-level3-text-secondary",1,1,false
"--glass-danger-level4-surface",1,1,false
"--glass-danger-level4-border-color",1,1,false
"--glass-danger-level4-border-width",1,1,false
"--glass-danger-level4-border-style",1,1,false
"--glass-danger-level4-blur",1,1,false
"--glass-danger-level4-shadow",1,1,false
"--glass-danger-level4-text-primary",1,1,false
"--glass-danger-level4-text-secondary",1,1,false
"--glass-info-level1-surface",1,1,false
"--glass-info-level1-border-color",1,1,false
"--glass-info-level1-border-width",1,1,false
"--glass-info-level1-border-style",1,1,false
"--glass-info-level1-blur",1,1,false
"--glass-info-level1-shadow",1,1,false
"--glass-info-level1-text-primary",1,1,false
"--glass-info-level1-text-secondary",1,1,false
"--glass-info-level2-surface",1,1,false
"--glass-info-level2-border-color",1,1,false
"--glass-info-level2-border-width",1,1,false
"--glass-info-level2-border-style",1,1,false
"--glass-info-level2-blur",1,1,false
"--glass-info-level2-shadow",1,1,false
"--glass-info-level2-text-primary",1,1,false
"--glass-info-level2-text-secondary",1,1,false
"--glass-info-level3-surface",1,1,false
"--glass-info-level3-border-color",1,1,false
"--glass-info-level3-border-width",1,1,false
"--glass-info-level3-border-style",1,1,false
"--glass-info-level3-blur",1,1,false
"--glass-info-level3-shadow",1,1,false
"--glass-info-level3-text-primary",1,1,false
"--glass-info-level3-text-secondary",1,1,false
"--glass-info-level4-surface",1,1,false
"--glass-info-level4-border-color",1,1,false
"--glass-info-level4-border-width",1,1,false
"--glass-info-level4-border-style",1,1,false
"--glass-info-level4-blur",1,1,false
"--glass-info-level4-shadow",1,1,false
"--glass-info-level4-text-primary",1,1,false
"--glass-info-level4-text-secondary",1,1,false
"--font-display",1,1,false
"--font-body",1,1,false
"--font-mono",1,1,false
"--text-xs",1,1,false
"--text-sm",1,1,false
"--text-base",1,1,false
"--text-lg",1,1,false
"--text-xl",1,1,false
"--text-2xl",1,1,false
"--text-3xl",1,1,false
"--text-4xl",1,1,false
"--text-5xl",1,1,false
"--text-6xl",1,1,false
"--tracking-tighter",1,1,false
"--tracking-tight",1,1,false
"--tracking-normal",1,1,false
"--tracking-wide",1,1,false
"--tracking-wider",1,1,false
"--leading-none",1,1,false
"--leading-tight",1,1,false
"--leading-snug",1,1,false
"--leading-normal",1,1,false
"--leading-relaxed",1,1,false
"--leading-loose",1,1,false
"--glass-bg-hover",3,3,true
"--glass-bg-active",3,3,true
"--glass-bg-disabled",3,3,true
"--glass-bg-subtle",2,2,true
